Inconsistency Report Where Director Id <dirid>: LB, Tag: <year>, Value: 19yy Set as: -1.
Inconsistency Report Where Director Id <dirid>: OW, Tag: <released>, Value: 19x1 Set as: -1.
Inconsistency Report Where Director Id <dirid>: JD, Tag: <t>, Value: NULL Ignored this case.
Inconsistency Report Where Director Id <dirid>: WS, Tag: <year>, Value: 19yy Set as: -1.
Inconsistency Report Where Director Id <dirid>: WlJ, Tag: <t>, Value: NULL Ignored this case.
Inconsistency Report Where Director Id <dirid>: AS, Tag: <year>, Value: 199x Set as: -1.
Inconsistency Report Where Director Id <dirid>: AS, Tag: <year>, Value: 199x Set as: -1.
Inconsistency Report Where Director Id <dirid>: GeP, Tag: <t>, Value: NULL Ignored this case.
Inconsistency Report Where Director Id <dirid>: SS, Tag: <cat>, Value: NULL Set as: Undefined.
Inconsistency Report Where Director Id <dirid>: DPo, Tag: <cat>, Value: NULL Set as: Undefined.
Inconsistency Report Where Director Id <dirid>: DPo, Tag: <cat>, Value: NULL Set as: Undefined.
Inconsistency Report Where Director Id <dirid>: GxR, Tag: <t>, Value: NULL Ignored this case.
Inconsistency Report Where Director Id <dirid>: GxR, Tag: <t>, Value: NULL Ignored this case.
Inconsistency Report Where Director Id <dirid>: RHd, Tag: <year>, Value: 199x Set as: -1.
Inconsistency Report Where Director Id <dirid>: IAv, Tag: <year>, Value: 199x Set as: -1.
Inconsistency Report Where Director Id <dirid>: MS, Tag: <year>, Value: 196x Set as: -1.
Inconsistency Report Where Director Id <dirid>: MS, Tag: <year>, Value: 2001  Set as: -1.
Inconsistency Report Where Director Id <dirid>: WiW, Tag: <year>, Value: 19yy Set as: -1.
Inconsistency Report Where Director Id <dirid>: DLy, Tag: <year>, Value: 19yy Set as: -1.
Inconsistency Report Where Director Id <dirid>: MLt, Tag: <t>, Value: NULL Ignored this case.
Inconsistency Report Where Director Id <dirid>: AEy, Tag: <year>, Value: 19yy Set as: -1.
Inconsistency Report Where Director Id <dirid>: BSi, Tag: <t>, Value: NULL Ignored this case.
Inconsistency Report Where Director Id <dirid>: CsS, Tag: <year>, Value: 199x Set as: -1.
Inconsistency Report Where Director Id <dirid>: KDo, Tag: <t>, Value: NULL Ignored this case.
Inconsistency Report Where Director Id <dirid>: KDo, Tag: <year>, Value: 199x Set as: -1.
Inconsistency Report Where Director Id <dirid>: TdC, Tag: <year>, Value: 19yy Set as: -1.
Inconsistency Report Where Director Id <dirid>: Z95, Tag: <year>, Value: 19yy Set as: -1.
Inconsistency Report Where Director Id <dirid>: AbK, Tag: <year>, Value: 19yy Set as: -1.
Inconsistency Report Where Director Id <dirid>: MkJ, Tag: <year>, Value: 1997  Set as: -1.
Inconsistency Report Where Director Id <dirid>: MJu, Tag: <year>, Value: 19yy Set as: -1.
