id,name,birthYear
xml561,Jacqueline Brown,1914
xml2063,Rudolph Forster,1884
xml5901,Pauline Starke,1901
xml6317,Cicely Tyson,1933
xml87,William Alland,1916
xml1583,Vittorio DeSica,1901
xml1440,Ray Danton,1931
xml3759,Dyson Lovell,NULL
xml6614,Arleen Whelan,1916
xml2703,Robert Hays,1948
xml6461,Raymond Walburn,1887
xml2074,Julia Foster,1941
xml1185,William Senior,1866
xml6511,Jennifer Warren,1941
xml4703,Patrick O'Neal,1927
xml6250,William Tracy,1917
xml3665,Gabriel Leuvielle,1883
xml3793,Ida Lupino,1914
nm0000668,Emma Thompson,1959
xml1609,Angeline Brown,1931
xml4991,Harold Fraser,1886
xml5154,Irene (Ren\'e) Creese,1912
xml4491,Anne Dolan,1912
nm0949350,Burt Young,1940
xml3982,Lee Marvin,1924
xml2053,Paul Ford Weaver,1901
xml669,David Robert Jones,1947
xml2026,Cyril Fletcher,1913
xml2614,Barbara Harris,1936
nm0000553,Liam Neeson,1952
xml618,Ray Bolger,1904
xml2062,Robert Forster,1942
nm0570385,Stephen McHattie,1947
xml2588,Haya Hararit,1934
xml1256,Miriam Cooper,1900
xml2506,Dolly Haas,1910
xml3954,Everett G. Marshall,1910
xml3214,David Daniel Kaminsky,1913
xml6639,Peter King Engle,1916
xml6757,Arthur Wontner,1875
xml1548,Maria deMadeiros,NULL
xml881,Frances Timothy Durgin,1922
xml5354,Emmanuel Goldenberg,1893
xml1713,Joanne la Coque,1923
xml2388,Margot Grahame,1911
xml575,Martha Lafferty,1921
xml6643,Richard Whorf,1906
xml6400,John Vernon,1935
xml4267,Martin Milner,1927
xml474,Riccardo Benedetto,1916
xml4425,Peggy Mount,1916
xml1744,James Dunn,1905
xml5096,Kurt Raab,NULL
xml3979,Nino Martini,1904
xml4208,Ralph Champion Shotter,1907
xml423,Louise Beavers,1902
xml282,Pamela Bach,1962
xml4081,Jody McCrea,NULL
xml386,James Barton,1890
xml5269,John Richardson,1936
xml6494,Jimmy Wang Yu,NULL
xml5303,Jonathan Ritter,1948
xml892,Godfrey Cambridge,1929
xml2620,Julie Harris,1925
xml1222,Walter Connolly,1887
xml6806,Keenan Wynn,1916
xml2223,Marjorie Gateson,1891
xml515,Elisabeth Ettel,1898
xml6008,Josephine Cottle,1922
xml3965,Dewey Martin,1923
xml2855,Charles John Holt II,1888
xml1749,Irene Dunne,1901
xml6164,Jameson Thomas,1892
xml2707,Margarita Carmen Cansino,1918
xml1310,Wally Cox,1924
xml2571,Dorothy Standing,1909
xml6222,Sidney Toler,1878
xml1133,Sir John Clements,1910
xml1443,Deborah Zenby,1947
xml5432,Rita Rudner,NULL
xml4248,Glenn Miller,1904
nm0000257,Alan Alda,1936
xml6385,Guadeloupe Velez de Villalobos,1908
xml55,Muriel Aked,1887
xml2301,Kathryn Givney,1897
xml2814,Judd Hirsch,1936
xml4508,Mildred Natwick,1908
xml4719,Jennifer O'Neill,1947
xml3059,David Janssen,1930
xml4590,Marni Nixon,1929
xml1689,Ned Dowd,NULL
xml816,Burdinelli Valerie,1960
xml5415,Norman Rossington,1928
xml6025,Elaine Stritch,1926
xml1863,Stuart Erwin,1903
xml4275,Liza Minelli,1946
xml1398,Arlene Dahl,1924
xml5350,Dany Robin,1927
xml5946,Gail Shekles,1918
xml4724,David Opatosky,1918
xml4761,Reginald Owen,1887
xml2416,Martyn Green,1899
xml1616,Mark Dignam,1909
xml178,Roscoe (Fatty) Arbuckle,1887
xml5896,Ruby Stevens,1907
xml19,Jean Adair,1872
xml5263,Ann Richards,1918
xml4338,gn Moore,NULL
xml6572,Paul Wegener,1874
xml6625,Ruth White,1914
xml4713,Shannon O'Neil,NULL
xml4666,Judith O'Dea,NULL
xml4757,Maria Ouspenskaya,1876
xml3831,Barry Mackay,1906
xml4850,Marisa Pierangeli,1932
xml2106,Don Francks,1932
xml5650,Athene Seyler,1889
xml1149,Alec Clunes,1912
nm0001833,Emily Watson,1967
xml946,Richard Carlson,NULL
nm0000457,John Hurt,1940
xml5050,fc bnc,1958
xml36,Dawn Addams,1930
xml5933,George F. Stitch,1883
xml5703,Elizabeth Shepherd,NULL
xml6007,Larry Storch,1923
xml2849,Celeste Holm,1919
xml4271,Esther Minciotti,1883
xml2914,Sydney Howard,1884
xml6362,James Van Patten,NULL
xml235,Lucille Langehanke,1906
xml883,Martin Caliniff,1935
xml4754,Rafaela Ottiano,1894
xml596,Bernard Blier,1916
xml6046,Geoffrey Sumner,1908
xml5767,Ivan Simpson,1875
xml1894,S. Tapping,1873
xml2879,Geoffrey Horne,1926
xml2959,Martita Hunt,1900
xml628,Beulah Bondy,1889
