starId,movieId
xml561,ADw60
xml561,GeS29
xml561,IrR12
xml561,LlB78
xml561,VSh9
xml5901,AbP10
xml5901,EL44
xml6317,BDu10
xml6317,BGr10
xml6317,DLR10
xml6317,GC52
xml6317,IKo5
xml6317,JAv10
xml6317,KSh10
xml6317,OzS10
xml87,OW1
xml1583,AbA10
xml1440,AMa50
xml1440,AN10
xml1440,DaM3
xml6614,GSK1
xml6614,IF87
xml2703,GTr12
xml2703,JiA1
xml2703,KFi10
xml2703,MiT8
xml2703,RCn10
xml6461,ArL26
xml6461,FC26
xml6461,FC36
xml6461,PS2
xml6461,PS8
xml6461,RdR52
xml6461,RVL10
xml6461,TG19
xml6461,WAS125
xml2074,GSy40
xml2074,LGt23
xml2074,TRs8
xml6511,ArP15
xml6511,DWr10
xml6511,GRH10
xml4703,BFo4
xml4703,BFo12
xml4703,HyA3
xml4703,PhL100
xml4703,SL52
xml4703,SP25
xml4703,SP46
xml6250,BBe17
xml6250,EL65
xml6250,H35
xml6250,IF91
xml3793,AlW60
xml3793,C124
xml3793,DaB21
xml3793,DeD30
xml3793,DS9
xml3793,HHa13
xml3793,HHo3
xml3793,JN9
xml3793,LM15
xml3793,NR7
xml3793,RaW61
xml3793,RaW62
xml3793,RaW72
xml3793,RFu20
xml3793,RM9
xml3793,RoA7
xml3793,VSh9
xml3793,W78
nm0000668,AnL13
nm0000668,ARm10
nm0000668,JIv42
nm0000668,JIv42
nm0000668,JSh4
nm0000668,KBr1
nm0000668,KBr3
nm0000668,KBr3
nm0000668,KBr12
nm0000668,KBr14
nm0000668,MSm10
nm0000668,SGu10
xml1609,AKj11
xml1609,BdP14
xml1609,BSe10
xml1609,DS23
xml1609,GvS8
xml1609,IBo2
xml1609,LaB31
xml1609,LM110
xml1609,RoV13
xml1609,StC10
xml4991,IrC77
xml4491,ArL22
nm0949350,AAl20
nm0949350,DaD10
nm0949350,HAs10
nm0949350,IAv10
nm0949350,JSg12
nm0949350,KRz25
nm0949350,MeG30
nm0949350,RoA66
nm0949350,RoA70
nm0949350,RoP8
nm0949350,SaP20
nm0949350,SeL55
nm0949350,Sys1
nm0949350,Sys2
nm0949350,Sys3
nm0949350,UEd20
xml3982,DS23
xml3982,DTa210
xml3982,DTa210
xml3982,EDm34
xml3982,EDm40
xml3982,ElS2
xml3982,FL37
xml3982,IBo2
xml3982,IF120
xml3982,IF125
xml3982,ISt20
xml3982,JWe3
xml3982,LaB10
xml3982,MAp29
xml3982,MeG40
xml3982,PHt15
xml3982,RcB17
xml3982,RoA28
xml3982,RoA48
xml3982,SaF20
xml3982,SK10
xml3982,StH23
xml2053,ACj118
xml2053,DPt6
xml2053,MdC16
xml669,DaH2
xml669,JuS10
xml669,MS22
xml669,NiR4
xml669,RD18
xml669,RSd10
xml669,ToS1
xml669,UEd10
xml2026,ACa60
xml2614,ArH209
xml2614,BBi10
xml2614,FFC15
xml2614,FrC1
xml2614,GNe5
xml2614,H84
xml2614,HAs9
xml2614,JSb10
xml2614,RAl73
xml2614,StD72
nm0000553,BiA10
nm0000553,BSc40
nm0000553,DS50
nm0000553,GgL5
nm0000553,IMd10
nm0000553,JDB15
nm0000553,LeN10
nm0000553,MAp47
nm0000553,MCJ16
nm0000553,PY25
nm0000553,RPe22
nm0000553,SRi10
nm0000553,SS26
xml618,DaB32
xml618,DaB32
xml618,HWx20
xml618,JDh5
xml618,JHr20
xml618,RZL20
xml618,VF43
xml2062,CoA10
xml2062,HWe10
xml2062,IH30
xml2062,JfB10
xml2062,MeG40
xml2062,Qta6
xml2062,WLu10
nm0570385,DaG6
nm0570385,ILd10
xml2588,WW81
xml1256,DWG52
xml2506,H49
xml2506,IB8
xml3954,AL27
xml3954,ArP4
xml3954,CEa19
xml3954,DeM2
xml3954,EDm34
xml3954,EDm38
xml3954,EDm39
xml3954,EWS4
xml3954,GRo20
xml3954,H63
xml3954,OlS23
xml3954,RDL19
xml3954,RiF20
xml3954,RiF28
xml3954,SL1
xml3954,WA7
xml3214,C161
xml3214,ChV35
xml3214,HH29
xml3214,HKo21
xml3214,MFr5
xml3214,MvS4
xml3214,MvS6
xml3214,NML21
xml3214,NPa3
xml3214,WLa38
xml6639,DeD18
xml6639,NJ7
xml6757,MP8
xml1548,PK20
xml881,JN20
xml881,JNs110
xml881,PGy10
xml881,RrS5
xml881,RSt201
xml881,SeL3
xml5354,AL11
xml5354,AL14
xml5354,ALv10
xml5354,BW4
xml5354,C109
xml5354,C124
xml5354,CDM80
xml5354,DeD40
xml5354,ELu20
xml5354,FC38
xml5354,FL27
xml5354,FL29
xml5354,HH13
xml5354,IF76
xml5354,IF76
xml5354,IH12
xml5354,JA10
xml5354,JCa7
xml5354,JLM8
xml5354,JLT36
xml5354,JuD13
xml5354,LlB57
xml5354,LlB68
xml5354,MLR4
xml5354,MLR11
xml5354,MRs36
xml5354,MxS12
xml5354,NJ5
xml5354,OW4
xml5354,RaW65
xml5354,RFl48
xml5354,RiF33
xml5354,RRw20
xml5354,SM8
xml5354,W56
xml5354,WlD37
xml5354,WlD38
xml5354,WmK14
xml1713,HH30
xml1713,IF101
xml1713,RoR2
xml2388,ADw22
xml2388,IF77
xml2388,RVL14
xml575,AlH30
xml575,LeJ12
xml575,SHa7
xml6643,StH20
xml6400,AsL10
xml6400,CEa3
xml6400,DS32
xml6400,DS33
xml6400,H82
xml6400,IBo2
xml6400,ILa32
xml6400,VME20
xml4267,AN10
xml4267,EBy20
xml4267,JWe3
xml4267,MRs39
xml4267,RiF20
xml4267,SM7
xml474,BW9
xml474,BW9
xml474,EDm25
xml474,EDm26
xml474,LM110
xml4425,PeG6
xml1744,EK1
xml1744,GWh10
xml1744,RDW7
xml5096,RWF1
xml5096,RWF8
xml5096,RWF20
xml3979,EL52
xml3979,RM9
xml4208,ACa50
xml4208,GeP15
xml4208,RWB45
xml423,ASa50
xml423,ELu20
xml423,GC7
xml423,HCP24
xml423,ICr30
xml423,IMS25
xml423,SaT17
xml423,VF38
xml423,WAS125
xml423,WmK14
xml4081,WAr40
xml4081,WAr44
xml4081,WAr46
xml4081,WAr50
xml386,DaB29
xml386,IH23
xml386,LlB95
xml5269,CfO10
xml5269,DCh15
xml5269,MaB1
xml5269,RDa10
xml5303,BE36
xml5303,MtD10
xml5303,PBo9
xml5303,PBo11
xml5303,PHy28
xml892,MVP10
xml2620,EK10
xml2620,FZ11
xml2620,GRo35
xml2620,GSc2
xml2620,GSc3
xml2620,GSc6
xml2620,HCs4
xml2620,IH30
xml2620,LPe10
xml2620,RNe1
xml2620,RWi29
xml2620,SRo37
xml1222,AnS1
xml1222,DBr5
xml1222,FB29
xml1222,FC23
xml1222,FC25
xml1222,HH15
xml1222,JCw62
xml1222,RTh6
xml1222,S17
xml1222,SFr60
xml6806,AMa61
xml6806,BuK5
xml6806,CBw48
xml6806,DSk66
xml6806,EBz60
xml6806,FC38
xml6806,FFC3
xml6806,GDo74
xml6806,GSy13
xml6806,H67
xml6806,ICd10
xml6806,ICr35
xml6806,JLT36
xml6806,JN15
xml6806,MiA25
xml6806,MiW20
xml6806,NoT12
xml6806,NT121
xml6806,NuJ4
xml6806,OW9
xml6806,PaH116
xml6806,RAl73
xml6806,RoS85
xml6806,RoS112
xml6806,RoV13
xml6806,RTh27
xml6806,RZL31
xml6806,SeL45
xml6806,SL3
xml6806,SL26
xml6806,StD4
xml6806,StK7
xml6806,VM5
xml6806,VME13
xml6806,WAr46
xml6806,Z6650
xml2223,EHG50
xml515,GoH52
xml515,PCz15
xml515,PCz25
xml515,PCz30
xml6008,RoS11
xml2855,CDM32
xml2855,DaB8
xml2855,JqT2
xml2855,WvD56
xml1749,C136
xml1749,CBw41
xml1749,ElN2
xml1749,GaK5
xml1749,GAr58
xml1749,GLC4
xml1749,GSt10
xml1749,GSt14
xml1749,ICr16
xml1749,ICr38
xml1749,IMS20
xml1749,IMS30
xml1749,IMS40
xml1749,JN12
xml1749,JW11
xml1749,KV55
xml1749,LMC15
xml1749,LMC16
xml1749,RM10
xml1749,RyB16
xml1749,VF47
xml1749,WAS83
xml1749,WR40
xml6164,FC25
xml6164,FC26
xml6164,H13
xml6164,LoK9
xml6164,NT31
xml6164,S15
xml2707,BeH2
xml2707,ChV8
xml2707,ChV20
xml2707,ChV26
xml2707,CuB39
xml2707,DeM20
xml2707,GC20
xml2707,GSy17
xml2707,HH22
xml2707,JTg5
xml2707,JuD13
xml2707,KV54
xml2707,LoK9
xml2707,OW5
xml2707,RaW64
xml2707,RM13
xml2707,RoR25
xml2707,SLa18
xml2707,WAS112
xml1310,JBH10
xml1310,JFe20
xml1310,Z0429
xml2571,DL3
xml2571,DWG80
xml6222,CBw31
xml6222,EG10
xml6222,EuF50
xml6222,EuF50
xml6222,FLl89
xml6222,HBH25
xml6222,HIL25
xml6222,HLaD55
xml6222,HLa60
xml6222,HLa65
xml6222,HLa75
xml6222,HoB50
xml6222,LiB1
xml6222,LSh1
xml6222,NF9
xml6222,NF13
xml6222,NF14
xml6222,NT31
xml6222,NT32
xml6222,PhK4
xml6222,PhK7
xml6222,PRo80
xml6222,PRo83
xml6222,PRo86
xml6222,PRo90
xml6222,PRo93
xml6222,PRo96
xml6222,RWa72
xml6222,RyB18
xml6222,TMo10
xml6222,TMo11
xml1133,GeK20
xml1133,JqF50
xml1133,ZK3
xml1443,HHa65
xml1443,RoA41
xml5432,KBr12
xml4248,AM31
xml4248,HBH30
nm0000257,AAl6
nm0000257,AAl10
nm0000257,AAl20
nm0000257,CCG24
nm0000257,CCr12
nm0000257,DRu15
nm0000257,GBl10
nm0000257,HbR10
nm0000257,JSb10
nm0000257,NcM10
nm0000257,NHy15
nm0000257,RMu37
nm0000257,RSp20
nm0000257,ToG8
nm0000257,WA17
nm0000257,WA21
nm0000257,WA25
xml6385,DaB17
xml6385,LeG12
xml6385,LeG10
xml6385,RyB9
xml6385,VF25
xml55,FLd20
xml55,WaF15
xml2301,H59
xml2301,JN21
xml2814,ArH227
xml2814,FrP10
xml2814,HBH90
xml2814,RHo36
xml2814,RlE20
xml2814,RR1
xml2814,SL50
xml4508,Fpy7
xml4508,H53
xml4508,IF101
xml4508,IF106
xml4508,JoP28
xml4508,RMu46
xml4508,RSt108
xml4508,RSt330
xml4508,StF5
xml4719,BaB10
xml4719,DCr15
xml4719,HH42
xml4719,JLo30
xml4719,LuV80
xml4719,NNo13
xml4719,OP44
xml4719,PAal
xml4719,ToG9
xml3059,AsL10
xml3059,EOB1
xml3059,ISt36
xml3059,JWa2
xml3059,MiA18
xml3059,WiH10
xml4590,RWi31
xml1689,GRH10
xml5415,KRz4
xml5415,RDL3
xml6025,AR10
xml6025,ChV46
xml6025,PCo12
xml1863,AES74
xml1863,IrC77
xml1863,SW8
xml1863,WAS100
xml1863,WmK30
xml4275,BF6
xml4275,MB5
xml4275,MS7
xml4275,SGo10
xml4275,VM33
xml1398,ADw80
xml1398,CuB44
xml1398,ELu49
xml1398,FSc29
xml1398,HeL30
xml1398,RTh27
xml5350,H82
xml5350,JuD20
xml5350,RCv10
xml5946,CLa115
xml5946,DS5
xml5946,ICr35
xml5946,REn50
xml4724,AnM35
xml4724,CaR1
xml4724,H81
xml4724,NLl111
xml4724,OP31
xml4724,RSt441
xml4761,CBw29
xml4761,CBw33
xml4761,CBw42
xml4761,DAz23
xml4761,ELM15
xml4761,FC21
xml4761,FTu23
xml4761,GC22
xml4761,GM224
xml4761,HKl40
xml4761,ICr19
xml4761,JCw61
xml4761,JdL12
xml4761,JR81
xml4761,MLR27
xml4761,RM6
xml4761,RoS90
xml4761,RTh4
xml4761,RTh9
xml4761,RZL20
xml4761,SW13
xml4761,W66
xml4761,WlD20
xml4761,WvD58
xml4761,WvD79
xml1616,TRs18
xml178,MSe15
xml178,MSe18
xml5896,AEG37
xml5896,AnM16
xml5896,CDM73
xml5896,DeD30
xml5896,FC30
xml5896,FL35
xml5896,HoB25
xml5896,LM26
xml5896,ML14
xml5896,PS4
xml5896,RdR40
xml19,FC34
xml5263,AL21
xml5263,KV50
xml5263,RWh15
xml5263,WlD45
xml4338,AdL16
xml4338,AnB26
xml4338,BLe17
xml4338,BrG28
xml4338,DmM10
xml4338,EZw6
xml4338,JSb20
xml4338,JZu10
xml4338,LLG10
xml4338,NeJ16
xml4338,RbR14
xml4338,RRe10
xml4338,RS28
xml4338,StD80
xml4338,THg25
xml6572,EL36
xml6572,EL39
xml6572,PW4
xml6625,RMu25
xml6625,TPo8
xml4666,GRo1
xml4757,CBw33
xml4757,CBw36
xml4757,DAz35
xml4757,FB52
xml4757,GBS103
xml4757,GWg16
xml4757,IrP11
xml4757,KuN30
xml4757,MLR22
xml4757,RWN15
xml4757,SW21
xml4757,WlD37
xml4757,WW42
xml4850,DaM4
xml4850,RSt104
xml2106,FFC3
xml5650,AA16
xml5650,JqT14
xml5650,MRs32
xml5650,RAs10
xml5650,ThD50
xml1149,LOl3
nm0001833,ATk10
nm0001833,ATk12
nm0001833,JSh8
nm0001833,LvT20
nm0001833,PSv13
xml946,ArL29
xml946,CoB6
xml946,CyE8
xml946,GgA9
xml946,GM210
xml946,HWx21
xml946,JA5
xml946,JA13
xml946,JOC10
xml946,RoS13
xml946,RWa50
nm0000457,APa6
nm0000457,CCo14
